,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,song_title,artist,opinion
602,0.779,0.362,0,-10.847,1,0.0474,0.135,0.206,0.111,0.46,85.011,286387,4,Woods,Mac Miller,1
603,0.342,0.294,2,-15.989,1,0.0426,0.592,0.674,0.0944,0.132,84.014,220008,4,Little Lies,ODIE,NA
604,0.538,0.304,9,-11.79,1,0.0352,0.613,0.000631,0.164,0.065,78.997,228071,3,How to disappear,Lana Del Rey,NA
605,0.442,0.18,10,-8.05,1,0.048,0.962,8.52E-06,0.112,0.233,215.669,217200,3,Paradise,Jeremih,NA
606,0.742,0.546,1,-7.694,1,0.0315,0.172,0.38,0.115,0.868,104.996,260520,4,Bags,Clairo,NA
607,0.662,0.296,8,-14.525,1,0.0301,0.887,0.111,0.119,0.434,94.024,255466,4,Warm,Dre'es,NA
608,0.67,0.419,6,-10.523,0,0.0751,0.75,0.135,0.0976,0.513,77.919,141587,4,Velvet Light,Jakob,NA
609,0.767,0.392,1,-11.996,1,0.0945,0.154,0.000398,0.108,0.48,125.017,153872,4,Habit,Still Woozy,NA
610,0.802,0.382,10,-7.356,1,0.0312,0.792,0.163,0.0783,0.581,99.969,196800,4,North Face,ODIE,NA
611,0.569,0.86,9,-4.116,1,0.043,0.135,0,0.153,0.289,90.937,270960,4,Summertime In Paris,Jaden,1
612,0.703,0.573,0,-9.032,1,0.0724,0.565,3.13E-06,0.0987,0.491,147.038,143830,4,"Yo Love - From ""Queen & Slim: The Soundtrack""",Vince Staples,NA
613,0.571,0.443,0,-6.76,1,0.0451,0.3,6.95E-06,0.101,0.621,143.923,247720,3,Want U Around (feat. Ruel),Omar Apollo,NA
614,0.555,0.474,6,-11.706,0,0.0668,0.224,0.00426,0.162,0.262,134.89,216160,4,Invincible (feat. Daniel Caesar),Omar Apollo,NA
615,0.747,0.531,8,-5.99,1,0.0477,0.266,1.8E-06,0.192,0.785,88.009,184768,4,The Dress,Dijon,NA
616,0.613,0.488,8,-7.37,1,0.0964,0.129,2.13E-05,0.335,0.183,172.076,190960,4,Love Affair,UMI,NA
617,0.651,0.546,1,-9.021,1,0.0357,0.774,0.0437,0.0842,0.623,107.021,229760,4,Motion Sickness,Phoebe Bridgers,1
618,0.763,0.494,11,-6.857,0,0.0487,0.965,0.00173,0.173,0.347,88.011,147304,4,Midnight Blues,UMI,NA
619,0.785,0.27,5,-14.457,1,0.0892,0.255,0.00132,0.0953,0.12,131.894,160500,4,Butterfly,UMI,NA
620,0.499,0.429,3,-10.288,1,0.0495,0.199,0.000311,0.334,0.277,117.751,267450,4,Get to You Again,Mac Ayres,NA
621,0.486,0.419,5,-6.415,1,0.0563,0.741,6.59E-05,0.096,0.227,119.065,244910,3,Frozen,Sabrina Claudio,NA
622,0.759,0.404,10,-11.803,0,0.049,0.462,0.00139,0.0841,0.581,77.977,201334,4,If Only,Raveena,NA
623,0.722,0.282,5,-7.484,1,0.106,0.373,0.00557,0.147,0.217,91.367,314358,4,Easy,Mac Ayres,NA
624,0.368,0.286,9,-13.031,0,0.0294,0.913,0.177,0.099,0.312,77.826,577199,4,Venice Bitch,Lana Del Rey,NA
625,0.461,0.293,6,-9.52,1,0.0555,0.947,9.95E-06,0.0936,0.531,180.297,257775,4,Same Drugs,Chance the Rapper,1
626,0.84,0.192,6,-12.843,1,0.0514,0.409,6E-06,0.101,0.31,114.93,266227,3,OPEN UP,Daniel Caesar,NA
627,0.635,0.184,8,-10.785,1,0.0456,0.665,0,0.146,0.177,128.424,240200,4,River,Leon Bridges,NA
628,0.624,0.532,0,-7.146,1,0.124,0.269,5.17E-05,0.158,0.362,76.453,253587,4,Normal Girl,SZA,NA
629,0.776,0.482,1,-11.269,1,0.0357,0.477,0.0456,0.11,0.134,136.008,247893,4,Summer Games,Drake,NA
630,0.567,0.815,8,-4.915,1,0.141,0.0144,2.14E-05,0.126,0.325,164.834,266813,4,Come Home (feat. André 3000),Anderson .Paak,NA
631,0.585,0.597,0,-7.499,1,0.037,0.339,0.0404,0.195,0.227,100.051,324674,4,Reborn,KIDS SEE GHOSTS,1
632,0.315,0.227,5,-13.27,0,0.0313,0.904,0,0.377,0.199,140.071,312115,4,Won't Live Here,Daniel Caesar,NA
633,0.525,0.131,0,-12.787,1,0.458,0.983,0.00433,0.12,0.811,107.007,66786,5,Good Guy,Frank Ocean,1
634,0.562,0.579,10,-6.788,0,0.484,0.274,0,0.102,0.577,84.143,176591,4,infinity (888) - feat. Joey Bada$$,XXXTENTACION,1
635,0.556,0.425,10,-6.964,0,0.314,0.811,1.97E-06,0.127,0.676,89.385,103987,4,hate will never win,XXXTENTACION,NA
636,0.538,0.612,2,-6.02,1,0.424,0.308,0,0.213,0.684,168.197,182493,4,Potato Salad,"Tyler, The Creator",1
637,0.809,0.638,8,-5.646,0,0.28,0.262,0,0.453,0.608,94.893,224043,4,Righteous Minds,Joey Bada$$,NA
638,0.764,0.526,0,-6.381,0,0.0544,0.678,0,0.163,0.323,81.004,121680,4,Taking A Walk,Trippie Redd,NA
639,0.823,0.572,6,-6.067,0,0.0865,0.0079,0,0.113,0.568,141.996,175954,4,1400 / 999 Freestyle (feat. Juice WRLD),Trippie Redd,NA
640,0.733,0.678,6,-7.771,1,0.438,0.121,0,0.344,0.841,175.985,142000,4,JAPAN,Famous Dex,NA
641,0.718,0.767,9,-5.641,1,0.166,0.138,0,0.114,0.519,160.084,156000,4,Lust,Lil Skies,NA
642,0.721,0.508,7,-7.496,1,0.394,0.317,0,0.153,0.457,159.911,166343,4,Yacht Club (feat. Juice WRLD),Lil Yachty,NA
643,0.808,0.617,10,-9.32,0,0.442,0.113,0,0.734,0.632,149.962,166400,4,Nuketown (feat. Juice WRLD),Ski Mask The Slump God,1
644,0.736,0.67,10,-6.702,1,0.311,0.186,0,0.114,0.845,130.032,169999,4,Armed And Dangerous,Juice WRLD,NA
645,0.837,0.636,1,-7.643,1,0.086,0.0395,0.00125,0.342,0.274,145.972,288624,4,a lot,21 Savage,1
646,0.87,0.498,9,-8.339,0,0.0622,0.046,0,0.146,0.692,110.017,176532,4,Let Go,Aaron May,NA
647,0.717,0.79,11,-4.213,1,0.2,0.33,0.000125,0.518,0.371,125.985,168784,4,Location,Playboi Carti,1
648,0.81,0.582,5,-5.098,0,0.125,0.0862,0.00681,0.207,0.503,95.004,209116,4,COFFEE BEAN,Travis Scott,NA
649,0.75,0.596,0,-5.569,0,0.282,0.478,0,0.166,0.27,130.104,240460,4,Flex,Playboi Carti,NA
650,0.691,0.64,0,-6.441,1,0.369,0.511,0,0.409,0.163,138.672,202040,4,Under The Sun (with J. Cole & Lute feat. DaBaby),Dreamville,1
651,0.607,0.609,0,-5.978,0,0.291,0.389,1.6E-05,0.111,0.556,74.946,185610,4,R.I.P. SCREW,Travis Scott,NA
652,0.648,0.631,4,-5.662,0,0.103,0.377,0,0.12,0.142,105.989,349933,4,Maria I'm Drunk (feat. Justin Bieber & Young Thug),Travis Scott,NA
653,0.838,0.735,10,-11.712,0,0.138,0.0669,0.334,0.165,0.945,167.956,159470,4,Choo Choo,Mac DeMarco,NA
654,0.896,0.18,5,-13.657,1,0.0887,0.724,0.0226,0.109,0.254,126.163,149293,4,Little Dogs March,Mac DeMarco,NA
655,0.781,0.431,2,-10.375,1,0.128,0.172,0.14,0.0823,0.57,142.923,243660,4,All Of Our Yesterdays,Mac DeMarco,1
656,0.679,0.326,4,-14.408,1,0.0283,0.694,0.181,0.147,0.386,76.715,209393,4,On The Square,Mac DeMarco,NA
657,0.718,0.628,4,-10.446,0,0.0537,0.666,0.891,0.148,0.798,163.179,203524,4,Powers Back On,Mac DeMarco,NA
658,0.775,0.0466,4,-16.402,0,0.0349,0.889,6.29E-05,0.111,0.392,127.898,244682,4,Skyless Moon,Mac DeMarco,NA
659,0.779,0.373,9,-8.355,1,0.0586,0.322,0.397,0.0392,0.56,75.518,152385,4,Trouble Believing - Demo,Mac DeMarco,NA
660,0.857,0.368,7,-10.87,1,0.041,0.0611,0.000508,0.0703,0.723,97.509,207160,4,Dreams from Yesterday,Mac DeMarco,NA
661,0.569,0.11,7,-17.899,0,0.0436,0.862,0.0554,0.121,0.183,151.795,213074,4,K,Mac DeMarco,1
662,0.658,0.575,1,-11.493,1,0.0333,0.677,0.286,0.0985,0.83,149.275,221653,4,My Old Man,Mac DeMarco,1
663,0.555,0.492,8,-12.338,0,0.206,0.526,0.0354,0.143,0.672,144.506,448653,4,Baby Bye Bye,Mac DeMarco,NA
664,0.706,0.111,3,-20.481,1,0.164,0.237,0.849,0.0912,0.524,57.012,180128,4,Here Comes The Cowboy,Mac DeMarco,NA
665,0.644,0.79,6,-6.502,1,0.0269,0.0164,0.925,0.247,0.898,124.059,140671,4,Sheeta - Instrumental,Mac DeMarco,NA
666,0.464,0.423,0,-14.801,0,0.0887,0.718,0.925,0.108,0.351,152.684,156867,4,Dreamin' Slow,Mac DeMarco,NA
667,0.814,0.189,7,-12.471,1,0.0403,0.181,0.409,0.0907,0.449,80.007,226111,4,Heart To Heart - Demo,Mac DeMarco,NA
668,0.594,0.676,4,-10.204,1,0.0275,0.375,0.96,0.153,0.419,96.03,160878,4,Lady Eboshi - Instrumental,Mac DeMarco,NA
669,0.628,0.308,1,-12.947,0,0.0306,0.756,0.269,0.0974,0.207,117.396,230278,4,Is It Boy - Demo,Mac DeMarco,NA
670,0.788,0.802,8,-6.159,1,0.0387,0.203,0.865,0.154,0.917,129.959,157826,4,Jimsy - Instrumental,Mac DeMarco,NA
671,0.761,0.154,1,-14.77,1,0.0568,0.942,6.21E-05,0.119,0.54,112.856,142101,4,A Wolf Who Wears Sheeps Clothes - Demo,Mac DeMarco,NA
